name,address,city,state,zip_code,latitude,longitude,Discription,Accessible,Smooth,Elivators,Ramps,Sound,Brail,SightImpared,Bathrooms,single-entrance
Memorial Park,998 Commercial Street,Belton,MO,64012,38.8092926,-94.526847,,True,True,True,False,True,False,False,True,False
Nevin's Park,6000 Statesville Road,Charlotte,NC,28269,35.301649,-80.838189,,True,True,True,False,True,False,False,True,False
Home of the Innocents,1100 East Market Street,Louisville,KY,40206,38.2520257,-85.7316881,TO CHECK: IS THIS A PUBLIC PLAYGROUND?,True,True,True,False,True,False,False,True,False
Patton Park,1200 South Main Street,Scott City,KS,67871,38.4751105,-100.906837,,True,True,True,False,True,False,False,True,False
Hope Park,McKinney Road,Collin,TX,75033,33.152544,-96.81427,To be completed in Spring 2013.,True,True,True,True,True,True,True,True,False
Neptune Elementary School,1200 Betsy Ross Lane,Saint Cloud,FL,34769,28.250644,-81.328812,,True,True,True,False,True,False,False,True,False
Chabad Early Learning Center,26-06 213th Street,Bayside,NY,11360,40.77808,-73.77695,,True,True,True,False,True,False,False,True,False
Three Angles Dream Playground,500 Iroquois Way,Schenctady,NY,12304,42.80213,-73.9132,,True,True,True,False,True,False,False,True,False
The Children's Center of Winston-Salem,2315 Coliseum Drive,Winston-Salem,NC,27106,36.118432,-80.280872,,True,True,True,False,True,False,False,True,False
Millstone Creek Park,745 North Spring Road,Westerville,OH,43082,40.1449258,-82.9016643,,True,True,True,False,True,False,False,True,False
Freedom Playground,1700 North MacDill Avenue,Tampa,FL,33607,27.9572404,-82.4932167,,True,True,True,False,True,False,False,True,False
Henry Grady Elementary School,3910 West Morrison Avenue,Tampa,FL,33629,27.932988,-82.509394,,True,True,True,False,True,False,False,True,False
Palmetto Bay Park,17535 SW 95th Avenue,Palmetto Bay,FL,33157,25.607005,-80.345547,,True,True,True,False,True,False,False,True,False
Unity Park,2175 NW N River Drive,Miami,FL,33125,25.7899526,-80.2305236,,True,True,True,False,True,False,False,True,False
Jorge Mas Canosa (Riverside) Park,342 SW 7th Avenue,Miami,FL,33130,25.7703479,-80.206765,,True,True,True,False,True,False,False,True,False
"Willie L. Webb, Sr. Park",3601 NW 21st Street,Lauderdale Lakes,FL,33311,26.153606,-80.1963899,This park includes a covered inclusive playground.,True,True,True,False,True,False,False,True,False
Mills Pond Park,2201 NW 9th Avenue,Ft. Lauderdale,FL,33311,26.15745,-80.15714,,True,True,True,False,True,False,False,True,False
Florence C. Hardy Park,25 SW. 9th Street,Ft. Lauderdale,FL,33315,26.1112255,-80.144481,,True,True,True,False,True,False,False,True,False
Northgate Neighborhood Park,3555 West Oakland Park Boulevard,Lauderdale Lakes,FL,33311,26.165781,-80.1959,This park includes a covered inclusive playground.,True,True,True,False,True,False,False,True,False
Vincent Torres Memorial Park,4331 NW 36th Street,Lauderdale Lakes,FL,33319,26.171722,-80.2067859,This park includes a covered inclusive playground.,True,True,True,False,True,False,False,True,False
Silver Springs Park,5027 Stow Road,Stow,OH,44224,41.1972307,-81.416999,"The playground is fully accessible to all children, including those with physical or developmental disabilities, and provides an avenue for children of all abilities to play together.",True,True,True,False,True,False,False,True,False
Duncan Creek Park,3700 Braselton Highway,Dacula,GA,30019,33.990011,-83.9053987,This 110-acre facility includes a playground with handicap-accessible features and restrooms.,True,True,True,False,True,False,False,True,False
Peachtree Ridge Park,3170 Suwanee Creek Road,Suwanee,GA,30024,34.0172947,-84.0760344,"This 156-acre facility includes an accessible ball field and playground for children with special needs, basektball courts and soccer fields and restrooms. It offer the INSPIRE program, which provides athletics for individuals with special needs.",True,True,True,False,True,False,False,True,False
Victory Park,2260 Dayton-Xenia Road,Beavercreek,OH,45434,39.7146523,-84.0220443,Owen's Place is a 9 3/4 acre area that is universally designed so individuals with and without disabiltiies may enjoy each other's company in a recreation setting.,True,True,True,False,True,False,False,True,False
Multipurpose Center,5200 Burke Road,Pasadena,TX,77504,29.6335425,-95.1813365,,True,True,True,True,True,True,False,True,False
Dan Nicholas Park,6800 Bringle Ferry Road,Salisbury,NC,28146,35.6321145,-80.3542389,inclusive for wide age and disability range.,True,True,True,False,True,False,False,True,False
Marla Dorrel Park,111 Thurston Drive,Cary,NC,27512,35.7452339,-78.7637323,"A 2-acre, accessible Kids Together Playground with includes several pieces of public art that the kids can play on.",True,True,True,False,True,False,False,True,False
A Dream Come True Playground,1050 Neff Avenue,Harrisonburg,VA,22801,38.4242458,-78.8611493,the playground features a new accessible inclusive wheelchair swing,True,True,True,False,True,False,False,True,False
FirstCelsa,10243 Dewhill Lane,El Toro,CA,92630,39.259017,-84.591883,,True,False,True,False,True,False,False,True,False
E.B. Rains Jr. Memorial Park,11800 Community Center Drive,Northglenn,CO,80233,39.9105455,-104.9869808,,True,True,True,False,True,False,False,True,False
Universal Playground,2426 North Discovery Place,Appleton,WI,54911,44.2630441,-88.5082867,,True,True,True,False,True,False,False,True,False
Riverside Park,Rivermont Ave,Lynchburg,VA,24503,37.43494,-79.17114,"The playground features train themed play equipment, drums and a sprayground.",True,True,True,False,True,True,False,True,False
Leticia,3111 South Congress Avenue,Winnigstedt,UT,38170,26.495805,-80.091527,"The entire 13.5 acre park is barrier free, not just the playground which features accessible restrooms and accessible play features.",True,False,True,False,True,False,False,True,False
Kelly Cares Miracle Field,1108 Jefferson Street,Alexandria,VA,22301,38.796825,-77.053613,"The rubberized surface baseball diamond  enables special needs individuals  to play baseball, wiffle ball, and hockey. The field is designed to look like a big-league baseball field with lights, dugouts and bleachers. An adjacent sensory garden has been planted to help stimulate children with autism.",True,True,True,False,True,False,False,True,False
